epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,9303.87,0.98407,0.82595,1.11094,0.75432,0.7279,0.77604,0.51691,1.14014,0.93988,1.26333,0.000198071,0.000198071,0.000198071
81,9420.32,0.96879,0.8095,1.11003,0.77833,0.71761,0.77539,0.51554,1.14487,0.93688,1.26454,0.000189072,0.000189072,0.000189072
82,9536.78,0.97266,0.80261,1.1052,0.77441,0.72322,0.78202,0.52086,1.14169,0.9313,1.26043,0.000180073,0.000180073,0.000180073
83,9653.81,0.9596,0.80309,1.09863,0.75502,0.73486,0.78072,0.52152,1.14226,0.92837,1.26045,0.000171074,0.000171074,0.000171074
84,9771.54,0.95688,0.79256,1.09467,0.76514,0.72592,0.78284,0.52063,1.14719,0.92023,1.2678,0.000162075,0.000162075,0.000162075
85,9888.75,0.94717,0.7801,1.08795,0.78416,0.72554,0.78316,0.51949,1.15052,0.92693,1.27068,0.000153076,0.000153076,0.000153076
86,10005.5,0.94977,0.78097,1.09214,0.76762,0.72787,0.77868,0.52098,1.14885,0.92223,1.27279,0.000144077,0.000144077,0.000144077
87,10122.1,0.94038,0.78184,1.08993,0.74926,0.74148,0.77937,0.52049,1.144,0.9208,1.26886,0.000135077,0.000135077,0.000135077
88,10240.3,0.93748,0.76114,1.08445,0.76862,0.72525,0.77773,0.51731,1.14572,0.92392,1.2689,0.000126078,0.000126078,0.000126078
89,10356.7,0.93716,0.76677,1.08463,0.74439,0.7343,0.77103,0.51652,1.14245,0.92582,1.26769,0.000117079,0.000117079,0.000117079
90,10473.6,0.92782,0.76175,1.07738,0.80345,0.69529,0.77861,0.51941,1.14423,0.92777,1.269,0.00010808,0.00010808,0.00010808
91,10600.3,0.88857,0.642,1.06095,0.75806,0.73973,0.77886,0.51702,1.14709,0.92626,1.27328,9.9081e-05,9.9081e-05,9.9081e-05
92,10714,0.87672,0.62672,1.04964,0.76559,0.7393,0.77933,0.5178,1.15114,0.92444,1.27448,9.00819e-05,9.00819e-05,9.00819e-05
93,10828.8,0.86334,0.61688,1.04412,0.7713,0.72515,0.77683,0.51511,1.14651,0.92148,1.27467,8.10828e-05,8.10828e-05,8.10828e-05
94,10944,0.8593,0.60961,1.03844,0.79458,0.71268,0.77699,0.5146,1.14936,0.92112,1.27976,7.20837e-05,7.20837e-05,7.20837e-05
95,11059.4,0.8539,0.6023,1.03521,0.77619,0.72215,0.77896,0.51441,1.15049,0.92535,1.28117,6.30846e-05,6.30846e-05,6.30846e-05
96,11183.8,0.84803,0.59501,1.03457,0.77002,0.73126,0.7764,0.51461,1.15327,0.92926,1.28647,5.40855e-05,5.40855e-05,5.40855e-05
97,11297.3,0.84193,0.59089,1.03077,0.76938,0.72852,0.77757,0.51537,1.15314,0.92787,1.28764,4.50864e-05,4.50864e-05,4.50864e-05
98,11410.9,0.84149,0.58662,1.0245,0.78254,0.71425,0.77811,0.51624,1.15227,0.92679,1.2883,3.60873e-05,3.60873e-05,3.60873e-05
99,11526.3,0.82852,0.57822,1.0218,0.78725,0.71492,0.77601,0.51618,1.14797,0.92803,1.28514,2.70882e-05,2.70882e-05,2.70882e-05
100,11640.3,0.83353,0.5783,1.02654,0.77912,0.71421,0.7732,0.51424,1.15019,0.92923,1.28748,1.80891e-05,1.80891e-05,1.80891e-05
