epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,781.869,1.26391,1.19417,1.20966,0.62011,0.54907,0.57761,0.32022,1.52765,1.52482,1.4427,0.000423049,0.000423049,0.000423049
56,795.556,1.2534,1.19642,1.20792,0.59812,0.56543,0.56886,0.31579,1.54196,1.54713,1.45033,0.000414049,0.000414049,0.000414049
57,808.889,1.25588,1.23811,1.2188,0.61223,0.57438,0.58327,0.32465,1.51642,1.50149,1.44008,0.00040505,0.00040505,0.00040505
58,822.257,1.21242,1.133,1.18156,0.63367,0.58423,0.59524,0.33623,1.51278,1.47553,1.4337,0.000396051,0.000396051,0.000396051
59,836,1.2197,1.15693,1.19374,0.63809,0.56413,0.58584,0.32846,1.51705,1.50421,1.42489,0.000387052,0.000387052,0.000387052
60,849.877,1.23814,1.16823,1.20547,0.59361,0.55459,0.56314,0.31208,1.53311,1.59005,1.4393,0.000378053,0.000378053,0.000378053
61,863.735,1.20583,1.12765,1.18416,0.61744,0.57486,0.57387,0.31595,1.53782,1.47012,1.4525,0.000369054,0.000369054,0.000369054
62,877.593,1.21422,1.1087,1.18138,0.67265,0.53252,0.58661,0.32858,1.52162,1.50734,1.43294,0.000360055,0.000360055,0.000360055
63,891.448,1.17739,1.13508,1.15946,0.64551,0.57514,0.59883,0.33908,1.50439,1.49485,1.42588,0.000351056,0.000351056,0.000351056
64,905.211,1.16643,1.06864,1.16823,0.61321,0.59185,0.59451,0.33194,1.51187,1.47723,1.43921,0.000342057,0.000342057,0.000342057
65,918.594,1.17489,1.08914,1.16995,0.63197,0.55689,0.57483,0.32741,1.49752,1.48198,1.42512,0.000333058,0.000333058,0.000333058
66,931.936,1.17366,1.05603,1.15818,0.65602,0.58593,0.59356,0.3367,1.52095,1.48946,1.44127,0.000324058,0.000324058,0.000324058
67,945.744,1.18326,1.07476,1.17109,0.6063,0.60588,0.597,0.33686,1.50022,1.43508,1.43218,0.000315059,0.000315059,0.000315059
